,0,1,2,3,4,5
0,Rank,Name,Team,Matches played,,
1,1.,Pardeep Narwal,Raider,https://www.prokabaddi.com/teams/patna-pirates-profile-6,20,12
2,2.,Pawan Kumar Sehrawat,Raider,https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,20,7
3,3.,Vikash Kandola,Raider,https://www.prokabaddi.com/teams/haryana-steelers-profile-28,17,6
4,3.,Maninder Singh,Raider,https://www.prokabaddi.com/teams/bengal-warriors-profile-4,20,6
5,3.,Siddharth Sirish Desai,Raider,https://www.prokabaddi.com/teams/telugu-titans-profile-8,18,6
6,3.,Vinay,Raider,https://www.prokabaddi.com/teams/haryana-steelers-profile-28,20,6
7,7.,K. Prapanjan,Raider,https://www.prokabaddi.com/teams/bengal-warriors-profile-4,18,4
8,7.,Pankaj Mohite,Raider,https://www.prokabaddi.com/teams/puneri-paltan-profile-7,16,4
9,9.,Chandran Ranjit,Raider,https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,19,3
10,9.,Mohammad Esmaeil Nabibakhsh,All Rounder,https://www.prokabaddi.com/teams/bengal-warriors-profile-4,20,3
11,9.,Sonu Jaglan,Raider,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,15,3
12,12.,Arjun Deshwal,Raider,https://www.prokabaddi.com/teams/u-mumba-profile-5,16,2
13,12.,Naveen Kumar,Raider,https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,20,2
14,12.,Abhishek Singh,Raider,https://www.prokabaddi.com/teams/u-mumba-profile-5,18,2
15,12.,Vijay,All Rounder,https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,19,2
16,12.,Manjeet,Raider,https://www.prokabaddi.com/teams/puneri-paltan-profile-7,20,2
17,12.,Rohit Kumar,Raider,https://www.prokabaddi.com/teams/bengaluru-bulls-profile-1,17,2
18,12.,Rohit Baliyan,Raider,https://www.prokabaddi.com/teams/u-mumba-profile-5,17,2
19,12.,Deepak Niwas Hooda,All Rounder,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,20,2
20,12.,Rishank Devadiga,Raider,https://www.prokabaddi.com/teams/up-yoddha-profile-30,14,2
21,12.,Shrikant Jadhav,Raider,https://www.prokabaddi.com/teams/up-yoddha-profile-30,18,2
22,12.,Sukesh Hegde,Raider,https://www.prokabaddi.com/teams/bengal-warriors-profile-4,13,2
23,12.,Ajay Thakur,Raider,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,13,2
24,12.,Sushil Gulia,Raider,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,7,2
25,25.,Amit Kumar,All Rounder,https://www.prokabaddi.com/teams/patna-pirates-profile-6,3,1
26,25.,V. Ajith Kumar,Raider,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,17,1
27,25.,Meraj Sheykh,All Rounder,https://www.prokabaddi.com/teams/dabang-delhi-kc-profile-2,13,1
28,25.,Suraj Desai,Raider,https://www.prokabaddi.com/teams/telugu-titans-profile-8,12,1
29,25.,Selvamani K,Raider,https://www.prokabaddi.com/teams/haryana-steelers-profile-28,7,1
30,25.,Nilesh Salunke,Raider,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,17,1
31,25.,Rohit Gulia,All Rounder,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,20,1
32,25.,Surinder Singh,Defender,https://www.prokabaddi.com/teams/u-mumba-profile-5,20,1
33,25.,Nitin Rawal,All Rounder,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,15,1
34,25.,Sachin Tanwar,Raider,https://www.prokabaddi.com/teams/gujarat-fortunegiants-profile-31,16,1
35,25.,Surender Gill,Raider,https://www.prokabaddi.com/teams/up-yoddha-profile-30,15,1
36,25.,Rajnish,Raider,https://www.prokabaddi.com/teams/telugu-titans-profile-8,10,1
37,25.,Armaan,All Rounder,https://www.prokabaddi.com/teams/telugu-titans-profile-8,6,1
38,25.,Anand,Raider,https://www.prokabaddi.com/teams/tamil-thalaivas-profile-29,5,1
39,25.,Naveen,Raider,https://www.prokabaddi.com/teams/haryana-steelers-profile-28,15,1
40,25.,Sachin Narwal,All Rounder,https://www.prokabaddi.com/teams/jaipur-pink-panthers-profile-3,12,1
